family_id,size,members
rescue-family-0172,23,PCT64-18B|PCT64-18C|PCT64-18D|PCT64-18F|PCT64-24A|PCT64-24B|PCT64-24E|PCT64-24F|PCT64-24G|PCT64-24H|PCT64-35B|PCT64-35C|PCT64-35D|PCT64-35E|PCT64-35F|PCT64-35G|PCT64-35H|PCT64-35I|PCT64-35K|PCT64-35M|PCT64-35N|PCT64-35O|PCT64-35S
rescue-family-0173,2,PG16|PG9
rescue-family-0174,1,PGC14
rescue-family-0175,4,PGDM11|PGDM12|PGDM13|PGDM14
rescue-family-0176,2,PGDM1400|PGDM1402
rescue-family-0177,1,PGDM1401
rescue-family-0178,1,PGDM1403
rescue-family-0179,2,PGDM1404|PGDM1405
rescue-family-0180,1,PGDM1406
rescue-family-0181,1,PGDM21
rescue-family-0182,1,PGDM31
rescue-family-0183,6,PGT125|PGT126|PGT127|PGT128|PGT130|PGT131
rescue-family-0184,3,PGT135|PGT136|PGT137
rescue-family-0185,5,PGT141|PGT142|PGT143|PGT144|PGT145
rescue-family-0186,2,PGT151|PGT152
rescue-family-0187,1,PGT153
rescue-family-0188,1,PGT154
rescue-family-0189,4,PGT155|PGT156|PGT157|PGT158
rescue-family-0190,3,PGZL1|PGZL1.H4K3|PGZL1_gVmDmJ
rescue-family-0191,1,QA013.19
rescue-family-0192,1,QA013.2
rescue-family-0193,2,QA013.3|QA013.53
rescue-family-0194,1,QA013.32
rescue-family-0195,1,QA013.4
rescue-family-0196,4,RHA1.V2.01|RHA1.V2.02|RHA1.V2.03|RHA1.V2.04
rescue-family-0197,2,RHA10.01|RHA10.04
rescue-family-0198,7,SF10|SF12|SF2|SF3|SF5|SF7|SF8
rescue-family-0199,1,T646-a.01
rescue-family-0200,5,TRNM-a.01|TRNM-b.01|TRNM-c.01|TRNM-e.01|TRNM-f.01
rescue-family-0201,1,V031-a.01
rescue-family-0202,1,V033-a.01
rescue-family-0203,1,vFP1.01
rescue-family-0204,1,vFP16.02
rescue-family-0205,1,vFP20.01
rescue-family-0206,1,vFP48.02
rescue-family-0207,1,vFP49.02
rescue-family-0208,1,vFP5.01
rescue-family-0209,1,vFP52.02
rescue-family-0210,1,vFP53.02
rescue-family-0211,2,vFP7.04|vFP7.05
rescue-family-0212,5,VRC-CH30|VRC-CH31|VRC-CH32|VRC-CH33|VRC-CH34
rescue-family-0213,2,VRC-PG04|VRC-PG04b
rescue-family-0214,1,VRC-PG05
rescue-family-0215,1,VRC-PG19
rescue-family-0216,1,VRC-PG20
rescue-family-0217,31,VRC26.01|VRC26.02|VRC26.03|VRC26.04|VRC26.05|VRC26.06|VRC26.07|VRC26.08|VRC26.09|VRC26.10|VRC26.12|VRC26.13|VRC26.14|VRC26.15|VRC26.16|VRC26.17|VRC26.18|VRC26.19|VRC26.20|VRC26.21|VRC26.22|VRC26.23|VRC26.24|VRC26.25|VRC26.26|VRC26.27|VRC26.28|VRC26.29|VRC26.30|VRC26.31|VRC26.33
rescue-family-0218,1,VRC33.01
rescue-family-0219,14,VRC34-UCA|VRC34-pI1|VRC34-pI2 H33P|VRC34-pI3HCpI2LC|VRC34-pI4|VRC34.01|VRC34.01_Combo1|VRC34.01_mm28|VRC34.02|VRC34.03|VRC34.04|VRC34.05|VRC34.06|VRC34.07
rescue-family-0220,11,VRC38.01|VRC38.02|VRC38.03|VRC38.04|VRC38.05|VRC38.06|VRC38.07|VRC38.08|VRC38.09|VRC38.10|VRC38.11
rescue-family-0221,2,VRC40.01|VRC40.02
rescue-family-0222,2,VRC41.01|VRC41.02
rescue-family-0223,7,VRC42.01|VRC42.02|VRC42.03|VRC42.04|VRC42.05|VRC42.I3|VRC42.N1
rescue-family-0224,3,VRC43.01|VRC43.02|VRC43.03
rescue-family-0225,2,VRC44.01|VRC44.02
rescue-family-0226,1,VRC46.01
rescue-family-0227,1,X5
rescue-family-0228,1,Y498
rescue-family-0229,1,Z13
